predicted_cards_lte,total_cards_last5_lte,value_edge_gt,over_4_5_prob_lt,total_bets,minimum_40_bets,win_rate,roi,avg_edge,avg_profit,season_min_roi,referee_min_roi,league_min_roi,season_positive_roi_rate,referee_positive_roi_rate,league_positive_roi_rate,roi_stability_std,stability_score,roi_by_season,roi_by_referee,roi_by_league
2.5,3.0,0.08,0.4,26,NO,0.8461538461538461,0.08807692307692311,0.1577571558881618,0.08807692307692311,0.0012500000000000566,-0.5766666666666667,0.08807692307692311,1.0,0.7692307692307693,1.0,0.0469587269995697,0.04111819607735341,2022:17 bets/11.0%; 2023:8 bets/0.1%; 2025:1 bets/41.0%,A Madley:3 bets/-57.7%; A Taylor:4 bets/-5.5%; C Pawson:2 bets/34.5%; D England:1 bets/34.0%; G Scott:2 bets/-37.5%; J Brooks:1 bets/41.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:4 bets/27.8%; P Bankes:1 bets/35.0%; R Jones:2 bets/25.0%; S Hooper:1 bets/28.0%,E0:26 bets/8.8%
2.5,3.0,0.1,0.3,26,NO,0.8461538461538461,0.08807692307692311,0.1577571558881618,0.08807692307692311,0.0012500000000000566,-0.5766666666666667,0.08807692307692311,1.0,0.7692307692307693,1.0,0.0469587269995697,0.04111819607735341,2022:17 bets/11.0%; 2023:8 bets/0.1%; 2025:1 bets/41.0%,A Madley:3 bets/-57.7%; A Taylor:4 bets/-5.5%; C Pawson:2 bets/34.5%; D England:1 bets/34.0%; G Scott:2 bets/-37.5%; J Brooks:1 bets/41.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:4 bets/27.8%; P Bankes:1 bets/35.0%; R Jones:2 bets/25.0%; S Hooper:1 bets/28.0%,E0:26 bets/8.8%
2.5,3.0,0.1,0.35,26,NO,0.8461538461538461,0.08807692307692311,0.1577571558881618,0.08807692307692311,0.0012500000000000566,-0.5766666666666667,0.08807692307692311,1.0,0.7692307692307693,1.0,0.0469587269995697,0.04111819607735341,2022:17 bets/11.0%; 2023:8 bets/0.1%; 2025:1 bets/41.0%,A Madley:3 bets/-57.7%; A Taylor:4 bets/-5.5%; C Pawson:2 bets/34.5%; D England:1 bets/34.0%; G Scott:2 bets/-37.5%; J Brooks:1 bets/41.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:4 bets/27.8%; P Bankes:1 bets/35.0%; R Jones:2 bets/25.0%; S Hooper:1 bets/28.0%,E0:26 bets/8.8%
2.5,3.0,0.1,0.4,26,NO,0.8461538461538461,0.08807692307692311,0.1577571558881618,0.08807692307692311,0.0012500000000000566,-0.5766666666666667,0.08807692307692311,1.0,0.7692307692307693,1.0,0.0469587269995697,0.04111819607735341,2022:17 bets/11.0%; 2023:8 bets/0.1%; 2025:1 bets/41.0%,A Madley:3 bets/-57.7%; A Taylor:4 bets/-5.5%; C Pawson:2 bets/34.5%; D England:1 bets/34.0%; G Scott:2 bets/-37.5%; J Brooks:1 bets/41.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:4 bets/27.8%; P Bankes:1 bets/35.0%; R Jones:2 bets/25.0%; S Hooper:1 bets/28.0%,E0:26 bets/8.8%
2.8,3.0,0.08,0.3,42,YES,0.8333333333333334,0.08571428571428573,0.15044159607699514,0.08571428571428573,-0.07538461538461533,-0.375,0.08571428571428573,0.8,0.7777777777777778,1.0,0.06465242093906727,0.02106186477521846,2022:24 bets/10.1%; 2023:13 bets/-7.5%; 2024:1 bets/54.0%; 2025:2 bets/40.5%; 2026:2 bets/40.5%,A Madley:4 bets/-36.5%; A Taylor:5 bets/3.8%; C Kavanagh:1 bets/24.0%; C Pawson:2 bets/34.5%; D Coote:2 bets/-37.0%; D England:2 bets/37.0%; G Scott:2 bets/-37.5%; J Brooks:2 bets/38.0%; J Gillett:1 bets/32.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:3 bets/26.0%; M Oliver:6 bets/8.5%; P Bankes:2 bets/-32.5%; P Tierney:1 bets/54.0%; R Jones:3 bets/25.7%; S Attwell:2 bets/30.0%; S Hooper:1 bets/28.0%,E0:42 bets/8.6%
2.8,3.0,0.08,0.35,42,YES,0.8333333333333334,0.08571428571428573,0.15044159607699514,0.08571428571428573,-0.07538461538461533,-0.375,0.08571428571428573,0.8,0.7777777777777778,1.0,0.06465242093906727,0.02106186477521846,2022:24 bets/10.1%; 2023:13 bets/-7.5%; 2024:1 bets/54.0%; 2025:2 bets/40.5%; 2026:2 bets/40.5%,A Madley:4 bets/-36.5%; A Taylor:5 bets/3.8%; C Kavanagh:1 bets/24.0%; C Pawson:2 bets/34.5%; D Coote:2 bets/-37.0%; D England:2 bets/37.0%; G Scott:2 bets/-37.5%; J Brooks:2 bets/38.0%; J Gillett:1 bets/32.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:3 bets/26.0%; M Oliver:6 bets/8.5%; P Bankes:2 bets/-32.5%; P Tierney:1 bets/54.0%; R Jones:3 bets/25.7%; S Attwell:2 bets/30.0%; S Hooper:1 bets/28.0%,E0:42 bets/8.6%
2.8,3.0,0.08,0.4,42,YES,0.8333333333333334,0.08571428571428573,0.15044159607699514,0.08571428571428573,-0.07538461538461533,-0.375,0.08571428571428573,0.8,0.7777777777777778,1.0,0.06465242093906727,0.02106186477521846,2022:24 bets/10.1%; 2023:13 bets/-7.5%; 2024:1 bets/54.0%; 2025:2 bets/40.5%; 2026:2 bets/40.5%,A Madley:4 bets/-36.5%; A Taylor:5 bets/3.8%; C Kavanagh:1 bets/24.0%; C Pawson:2 bets/34.5%; D Coote:2 bets/-37.0%; D England:2 bets/37.0%; G Scott:2 bets/-37.5%; J Brooks:2 bets/38.0%; J Gillett:1 bets/32.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:3 bets/26.0%; M Oliver:6 bets/8.5%; P Bankes:2 bets/-32.5%; P Tierney:1 bets/54.0%; R Jones:3 bets/25.7%; S Attwell:2 bets/30.0%; S Hooper:1 bets/28.0%,E0:42 bets/8.6%
2.7,3.5,0.05,0.3,61,YES,0.8360655737704918,0.08508196721311477,0.1450258545652942,0.08508196721311477,0.00850000000000004,-0.375,0.08508196721311477,1.0,0.7894736842105263,1.0,0.17715039543040068,-0.0920684282172859,2022:36 bets/8.4%; 2023:20 bets/0.9%; 2024:1 bets/54.0%; 2025:3 bets/35.7%; 2026:1 bets/40.0%,A Madley:7 bets/-27.7%; A Taylor:7 bets/-27.9%; C Kavanagh:2 bets/32.0%; C Pawson:4 bets/30.3%; D Coote:2 bets/-37.0%; D England:2 bets/37.0%; G Scott:2 bets/-37.5%; J Brooks:2 bets/38.0%; J Gillett:1 bets/32.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:5 bets/0.2%; M Oliver:7 bets/12.1%; M Salisbury:2 bets/29.0%; P Bankes:2 bets/35.5%; P Tierney:3 bets/41.7%; R Jones:5 bets/26.0%; S Attwell:2 bets/30.0%; S Hooper:3 bets/27.3%,E0:61 bets/8.5%
2.7,3.5,0.05,0.35,61,YES,0.8360655737704918,0.08508196721311477,0.1450258545652942,0.08508196721311477,0.00850000000000004,-0.375,0.08508196721311477,1.0,0.7894736842105263,1.0,0.17715039543040068,-0.0920684282172859,2022:36 bets/8.4%; 2023:20 bets/0.9%; 2024:1 bets/54.0%; 2025:3 bets/35.7%; 2026:1 bets/40.0%,A Madley:7 bets/-27.7%; A Taylor:7 bets/-27.9%; C Kavanagh:2 bets/32.0%; C Pawson:4 bets/30.3%; D Coote:2 bets/-37.0%; D England:2 bets/37.0%; G Scott:2 bets/-37.5%; J Brooks:2 bets/38.0%; J Gillett:1 bets/32.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:5 bets/0.2%; M Oliver:7 bets/12.1%; M Salisbury:2 bets/29.0%; P Bankes:2 bets/35.5%; P Tierney:3 bets/41.7%; R Jones:5 bets/26.0%; S Attwell:2 bets/30.0%; S Hooper:3 bets/27.3%,E0:61 bets/8.5%
2.7,3.5,0.05,0.4,61,YES,0.8360655737704918,0.08508196721311477,0.1450258545652942,0.08508196721311477,0.00850000000000004,-0.375,0.08508196721311477,1.0,0.7894736842105263,1.0,0.17715039543040068,-0.0920684282172859,2022:36 bets/8.4%; 2023:20 bets/0.9%; 2024:1 bets/54.0%; 2025:3 bets/35.7%; 2026:1 bets/40.0%,A Madley:7 bets/-27.7%; A Taylor:7 bets/-27.9%; C Kavanagh:2 bets/32.0%; C Pawson:4 bets/30.3%; D Coote:2 bets/-37.0%; D England:2 bets/37.0%; G Scott:2 bets/-37.5%; J Brooks:2 bets/38.0%; J Gillett:1 bets/32.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:5 bets/0.2%; M Oliver:7 bets/12.1%; M Salisbury:2 bets/29.0%; P Bankes:2 bets/35.5%; P Tierney:3 bets/41.7%; R Jones:5 bets/26.0%; S Attwell:2 bets/30.0%; S Hooper:3 bets/27.3%,E0:61 bets/8.5%
